자치구별,평수,평당가격,,면적,평,가격,최종가격
,,,,114.88,34.81212121,"43,300",1243.819638
,,,,51.03,15.46363636,"23,400",1513.227513
,,,,51.03,15.46363636,"22,500",1455.026455
,,,,114.88,34.81212121,"38,000",1091.573816
,,,,84.6,25.63636364,"32,800",1279.432624
,,,,84.6,25.63636364,"33,000",1287.234043
,,,,51.03,15.46363636,"23,000",1487.360376
,,,,84.6,25.63636364,"36,900",1439.361702
,,,,84.6,25.63636364,"35,700",1392.553191
,,,,51.03,15.46363636,"23,500",1519.694297
,,,,51.03,15.46363636,"24,000",1552.028219
,,,,84.6,25.63636364,"35,200",1373.049645
,,,,51.03,15.46363636,"22,250",1438.859494
,,,,51.03,15.46363636,"22,800",1474.426808
,,,,51.03,15.46363636,"23,800",1539.09465
,,,,51.03,15.46363636,"25,000",1616.696061
,,,,51.03,15.46363636,"23,300",1506.760729
,,,,51.03,15.46363636,"23,000",1487.360376
,,,,51.03,15.46363636,"24,000",1552.028219
,,,,51.03,15.46363636,"23,500",1519.694297
,,,,51.03,15.46363636,"24,000",1552.028219
,,,,114.88,34.81212121,"43,500",1249.564763
,,,,51.03,15.46363636,"24,100",1558.495003
,,,,114.88,34.81212121,"44,200",1269.672702
,,,,51.03,15.46363636,"24,800",1603.762493
,,,,84.6,25.63636364,"35,000",1365.248227
,,,,84.6,25.63636364,"37,400",1458.865248
,,,,83.71,25.36666667,"27,000",1064.388962
,,,,72.56,21.98787879,"24,200",1100.606395
,,,,68.77,20.83939394,"25,500",1223.644031
,,,,68.77,20.83939394,"25,500",1223.644031
,,,,68.77,20.83939394,"25,300",1214.046823
,,,,92.8,28.12121212,"28,000",995.6896552
,,,,69.29,20.9969697,"25,800",1228.748737
,,,,84.983,25.75242424,"35,000",1359.095348
,,,,84.983,25.75242424,"35,700",1386.277255
,,,,92.88,28.14545455,"25,000",888.2428941
,,,,78.54,23.8,"28,500",1197.478992
,,,,39.6,12,"17,400",1450
,,,,34.44,10.43636364,"16,200",1552.264808
,,,,49.5,15,"23,200",1546.666667
,,,,34.44,10.43636364,"16,000",1533.101045
,,,,39.6,12,"17,500",1458.333333
,,,,39.6,12,"17,000",1416.666667
,,,,34.44,10.43636364,"15,900",1523.519164
,,,,34.44,10.43636364,"15,600",1494.773519
,,,,39.6,12,"18,000",1500
,,,,39.6,12,"17,400",1450
,,,,34.44,10.43636364,"15,500",1485.191638
,,,,39.6,12,"17,500",1458.333333
,,,,34.44,10.43636364,"16,300",1561.84669
,,,,39.6,12,"17,900",1491.666667
,,,,49.5,15,"23,800",1586.666667
,,,,34.44,10.43636364,"16,100",1542.682927
