기준_년분기_코드,행정동_코드,행정동_코드_명,소득_구간_코드,교육_지출_총금액,,,자치구별,2019,2020,2021,2022
20212,11320,도봉구,6,2100087000,,,,,,,
20212,11545,금천구,6,1254038000,,,,,,,
20212,11680,강남구,9,27329390000,,,,,,,
20212,11170,용산구,8,1322754000,,,,,,,
20212,11230,동대문구,7,2211023000,,,,,,,
20212,11260,중랑구,6,2636443000,,,,,,,
20212,11530,구로구,7,3246595000,,,,,,,
20212,11305,강북구,6,1357654000,,,,,,,
20212,11350,노원구,7,6849318000,,,,,,,
20212,11440,마포구,8,7781172000,,,,,,,
20212,11215,광진구,7,2938043000,,,,,,,
20212,11380,은평구,6,4081531000,,,,,,,
20212,11410,서대문구,7,3068247000,,,,,,,
20212,11590,동작구,7,3956693000,,,,,,,
20212,11620,관악구,6,13688991000,,,,,,,
20213,11260,중랑구,6,2545566000,,,,,,,
20213,11710,송파구,8,9623146000,,,,,,,
20213,11560,영등포구,7,2864650000,,,,,,,
20213,11110,종로구,7,5320226000,,,,,,,
20213,11200,성동구,7,3627726000,,,,,,,
20213,11470,양천구,8,12179523000,,,,,,,
20213,11215,광진구,7,3029291000,,,,,,,
20213,11380,은평구,6,4158885000,,,,,,,
20213,11140,중구,7,19832087000,,,,,,,
20213,11290,성북구,7,3871763000,,,,,,,
20213,11320,도봉구,6,2145193000,,,,,,,
20213,11350,노원구,7,7847913000,,,,,,,
20213,11500,강서구,7,5719771000,,,,,,,
20213,11530,구로구,7,3395463000,,,,,,,
20213,11230,동대문구,7,2372177000,,,,,,,
20213,11305,강북구,6,1386341000,,,,,,,
20213,11650,서초구,9,12825222000,,,,,,,
20213,11680,강남구,9,31323057000,,,,,,,
20213,11740,강동구,7,5446878000,,,,,,,
20213,11170,용산구,8,1203013000,,,,,,,
20213,11440,마포구,8,8169963000,,,,,,,
20213,11410,서대문구,7,2899265000,,,,,,,
20213,11545,금천구,6,1223522000,,,,,,,
20213,11590,동작구,7,3985924000,,,,,,,
20213,11620,관악구,6,13508441000,,,,,,,
20214,11470,양천구,8,10965294000,,,,,,,
20214,11500,강서구,7,5678312000,,,,,,,
20214,11620,관악구,6,13898005000,,,,,,,
20214,11110,종로구,7,2608535000,,,,,,,
20214,11320,도봉구,6,2125493000,,,,,,,
20214,11170,용산구,8,1354095000,,,,,,,
20214,11215,광진구,7,2922482000,,,,,,,
20214,11350,노원구,7,7130564000,,,,,,,
20214,11650,서초구,9,11934624000,,,,,,,
20214,11260,중랑구,6,2568549000,,,,,,,
20214,11440,마포구,8,8193336000,,,,,,,
20214,11305,강북구,6,1373125000,,,,,,,
20214,11410,서대문구,7,3115022000,,,,,,,
20214,11545,금천구,6,1506902000,,,,,,,
20214,11560,영등포구,7,2821297000,,,,,,,
20214,11230,동대문구,7,2382925000,,,,,,,
20214,11680,강남구,9,28666982000,,,,,,,
20214,11740,강동구,7,5186546000,,,,,,,
20214,11530,구로구,7,3385968000,,,,,,,
20214,11710,송파구,8,9360033000,,,,,,,
20214,11140,중구,7,24098564000,,,,,,,
20214,11200,성동구,7,3642907000,,,,,,,
20214,11290,성북구,7,3257367000,,,,,,,
20214,11380,은평구,6,4209088000,,,,,,,
20214,11590,동작구,7,3867886000,,,,,,,
20221,11170,용산구,8,1181653000,,,,,,,
20221,11530,구로구,7,3249239000,,,,,,,
20221,11545,금천구,6,1261213000,,,,,,,
20221,11680,강남구,9,28622019000,,,,,,,
20221,11140,중구,7,25307529000,,,,,,,
20221,11260,중랑구,6,2402584000,,,,,,,
20221,11320,도봉구,6,2019193000,,,,,,,
20221,11410,서대문구,7,2842057000,,,,,,,
20221,11470,양천구,8,10970263000,,,,,,,
20221,11200,성동구,7,3397131000,,,,,,,
20221,11380,은평구,6,3920275000,,,,,,,
20221,11650,서초구,9,11810796000,,,,,,,
20221,11290,성북구,7,3604479000,,,,,,,
20221,11215,광진구,7,2806607000,,,,,,,
20221,11350,노원구,7,7411229000,,,,,,,
20221,11440,마포구,8,7669009000,,,,,,,
20221,11500,강서구,7,5489794000,,,,,,,
20221,11590,동작구,7,3585845000,,,,,,,
20221,11110,종로구,7,5579478000,,,,,,,
20221,11305,강북구,6,1369662000,,,,,,,
20221,11620,관악구,6,13743302000,,,,,,,
20221,11710,송파구,8,9161632000,,,,,,,
20221,11740,강동구,7,5173409000,,,,,,,
20221,11230,동대문구,7,2299044000,,,,,,,
20221,11560,영등포구,7,2871977000,,,,,,,
20222,11650,서초구,9,12840467000,,,,,,,
20222,11710,송파구,8,9615374000,,,,,,,
20222,11140,중구,7,26632576000,,,,,,,
20222,11470,양천구,8,11621107000,,,,,,,
20222,11215,광진구,7,2899781000,,,,,,,
20222,11530,구로구,7,3344476000,,,,,,,
20222,11560,영등포구,7,3100492000,,,,,,,
20222,11740,강동구,7,5418329000,,,,,,,
20222,11230,동대문구,7,2484679000,,,,,,,
20222,11410,서대문구,7,3261893000,,,,,,,
20222,11500,강서구,7,5982122000,,,,,,,
20222,11545,금천구,6,1328112000,,,,,,,
20222,11200,성동구,7,2680933000,,,,,,,
20222,11290,성북구,7,3382892000,,,,,,,
20222,11320,도봉구,6,1975688000,,,,,,,
20222,11680,강남구,9,31206345000,,,,,,,
20222,11260,중랑구,6,2556748000,,,,,,,
20222,11350,노원구,7,7657460000,,,,,,,
20222,11590,동작구,7,4029476000,,,,,,,
20222,11170,용산구,8,1365467000,,,,,,,
20222,11110,종로구,7,2838203000,,,,,,,
