시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,Latitude,Longitude,해제사유발생일,등기일자,거래유형,중개사소재지
서울특별시 중구 신당동,432-922,432,922,푸른마을(B),59.42,202310,30,"25,000",5,2001,동호로11마길 32,37.5509095,127.0058907,,,중개거래,서울 중구
서울특별시 중구 인현동2가,192-30,192,30,인현상가(신성아파트),76.96,202311,14,"55,700",10,1968,마른내로 72,37.5637573,126.9958058,20231122,,중개거래,서울 중구
서울특별시 중구 인현동2가,192-30,192,30,인현상가(신성아파트),76.96,202311,14,"55,700",10,1968,마른내로 72,37.5637573,126.9958058,,,중개거래,서울 중구
서울특별시 중구 충무로4가,120-3,120,3,진양상가,71.93,202311,23,"54,500",5,1970,퇴계로 217,37.5624022,126.9959393,,,직거래,-
서울특별시 중구 충무로5가,90,90,0,충무로헤센스마트,40.65,202310,30,"37,800",5,2018,서애로1길 11,37.5614077,126.9985014,,,중개거래,서울 중구
서울특별시 중구 황학동,819,819,0,DUO302,15.97,202310,28,"15,800",10,2014,난계로 169,36.1795481,127.7764891,,,중개거래,서울 중구
서울특별시 중구 황학동,1743,1743,0,골드캐슬Ⅲ,29.7,202311,3,"31,000",8,2017,난계로21길 39,37.5702352,127.0212348,,,중개거래,서울 중구
서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202310,30,"78,000",17,2008,청계천로 400,37.5709778,127.021434,,,중개거래,"서울 서초구, 서울 중구"
서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.91,202311,6,"82,000",20,2008,청계천로 400,37.5709778,127.021434,,,중개거래,"서울 동대문구, 서울 서초구"
서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202311,6,"76,500",20,2008,청계천로 400,37.5709778,127.021434,,,중개거래,"서울 성동구, 서울 중구"
서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),28.55,202311,6,"35,500",10,2018,마장로14길 11,37.5677185,127.0214046,,20231117,중개거래,서울 중구
서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),29.87,202311,10,"35,500",4,2018,마장로14길 11,37.5677185,127.0214046,,,중개거래,"서울 용산구, 서울 중구"
서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),29.87,202311,10,"35,500",5,2018,마장로14길 11,37.5677185,127.0214046,,,중개거래,"서울 용산구, 서울 중구"
서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),29.79,202311,10,"35,500",8,2018,마장로14길 11,37.5677185,127.0214046,,,중개거래,"서울 용산구, 서울 중구"
서울특별시 중구 황학동,2523,2523,0,황학아크로타워,111.224,202310,30,"110,000",19,2010,퇴계로 447,37.5661712,127.0219095,,,중개거래,서울 성동구
서울특별시 중구 회현동1가,206,206,0,SK리더스뷰남산,137.57,202310,28,"180,000",12,2010,퇴계로 72,37.5591263,126.9806365,,20231107,중개거래,서울 중구
서울특별시 중구 흥인동,01월 13일,13,1,청계천두산위브더제니스,147.3212,202311,8,"159,000",7,2014,다산로46길 17,37.5668612,127.0171104,,,중개거래,서울 중구
서울특별시 중랑구 망우동,506-8,506,8,EGSoulLeader,13.42,202311,10,"13,500",5,2012,상봉로 110,37.5956861,127.0933313,,20231113,직거래,-
서울특별시 중랑구 망우동,236-7,236,7,대보,44.01,202310,31,"30,000",5,1988,양원역로 49,37.6047122,127.1063153,,,중개거래,서울 중랑구
서울특별시 중랑구 망우동,508-6,508,6,더하이어,12.0156,202311,10,"14,500",8,2013,망우로58길 31,37.5968286,127.0940948,,20231113,직거래,-
서울특별시 중랑구 망우동,573,573,0,신원,84.12,202311,15,"39,000",20,1999,망우로 504-7,37.599976,127.1084594,,,직거래,-
서울특별시 중랑구 망우동,494-17,494,17,천보,62.5,202311,9,"32,000",6,2002,용마산로115가길 16,37.5975714,127.0958899,,,중개거래,서울 중랑구
서울특별시 중랑구 면목동,1529,1529,0,경남아너스빌,51.429,202310,31,"58,750",5,2006,답십리로75길 73,37.5754868,127.0804476,,,중개거래,서울 중랑구
서울특별시 중랑구 면목동,715,715,0,늘푸른동아,84.97,202311,2,"72,500",11,2002,동일로 476,37.6543386,127.0626961,,,중개거래,"서울 광진구, 서울 중랑구"
서울특별시 중랑구 면목동,126-1,126,1,킴스아파트,35.75,202311,11,"31,000",5,2018,면목로 429,37.5902079,127.0867099,,,중개거래,서울 중랑구
서울특별시 중랑구 면목동,1543,1543,0,한양수자인사가정파크,84.9979,202311,7,"103,000",6,2019,사가정로72길 26,37.5795605,127.0939006,,,중개거래,서울 중랑구
서울특별시 중랑구 면목동,1543,1543,0,한양수자인사가정파크,59.9816,202311,9,"80,000",13,2019,사가정로72길 26,37.5795605,127.0939006,,,중개거래,"서울 광진구, 서울 중랑구"
서울특별시 중랑구 면목동,1502,1502,0,현대,84.81,202311,11,"70,000",4,1994,용마산로 252,37.5762577,127.0897874,,,중개거래,"서울 광진구, 서울 중랑구"
서울특별시 중랑구 묵동,388,388,0,동구햇살,84.97,202311,4,"66,500",14,2004,동일로169길 41,37.6133089,127.0744432,,,중개거래,서울 중랑구
서울특별시 중랑구 묵동,122-55,122,55,로얄,83.56,202311,3,"33,000",4,2004,동일로156길 41,37.6104127,127.0800763,,,중개거래,서울 중랑구
서울특별시 중랑구 묵동,13,13,0,신내,39.84,202311,6,"36,500",7,1996,숙선옹주로 91,37.6164127,127.0848742,,20231115,중개거래,서울 중랑구
서울특별시 중랑구 묵동,13,13,0,신내,39.84,202311,10,"39,000",10,1996,숙선옹주로 91,37.6164127,127.0848742,,20231113,중개거래,서울 중랑구
서울특별시 중랑구 묵동,13,13,0,신내,39.84,202311,14,"30,000",1,1996,숙선옹주로 91,37.6164127,127.0848742,20231120,,직거래,-
서울특별시 중랑구 묵동,381,381,0,신안1,59.96,202310,29,"57,000",2,1999,공릉로2라길 15,37.6128548,127.0809927,,,중개거래,서울 중랑구
서울특별시 중랑구 묵동,384,384,0,신안3,59.86,202310,30,"54,500",9,2000,공릉로2라길 4,37.6124743,127.0817793,,,중개거래,서울 중랑구
서울특별시 중랑구 상봉동,Apr-85,85,4,더클래스,27.16,202311,18,"26,500",14,2019,상봉로23길 33,37.5941647,127.0913944,,20231122,중개거래,서울 중랑구
서울특별시 중랑구 상봉동,101-19,101,19,상봉베스트원,22.14,202311,10,"21,500",6,2019,망우로 304,37.5960059,127.0864716,,,중개거래,서울 중랑구
서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,16.94,202310,27,"26,000",3,2021,봉우재로37길 17,37.5936954,127.087754,,,직거래,-
서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,16.94,202311,5,"26,000",6,2021,봉우재로37길 17,37.5936954,127.087754,,,직거래,-
서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,16.94,202311,5,"26,000",4,2021,봉우재로37길 17,37.5936954,127.087754,,,직거래,-
서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,14.75,202311,15,"26,000",10,2021,봉우재로37길 17,37.5936954,127.087754,,,직거래,-
서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,14.75,202311,18,"26,500",13,2021,봉우재로37길 17,37.5936954,127.087754,,,직거래,-
서울특별시 중랑구 상봉동,484,484,0,"엘지,쌍용아파트",68.12,202311,1,"57,500",5,1996,봉화산로 130,37.60335,127.0898862,,,중개거래,서울 중랑구
서울특별시 중랑구 상봉동,484,484,0,"엘지,쌍용아파트",68.12,202311,11,"60,000",12,1996,봉화산로 130,37.60335,127.0898862,,,중개거래,서울 중랑구
