시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,,1평,시군구,평당 평균 가격(만원),,시군구,전용면적(㎡),평수,거래금액(만원),평당 가격(만원),,,,,,,
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,114.14,201612,23,"215,000",29,2015,삼성로51길 37,,,,,,서울특별시 강남구 대치동,114.14,34.52740352,"215,000",6226.937971,,,,,,,
서울특별시 강남구 대치동,1027,1027,0,래미안대치팰리스,84.97,201612,24,"153,000",20,2015,삼성로51길 37,,,,,,서울특별시 강남구 대치동,84.97,25.70346484,"153,000",5952.504884,,,,,,,
서울특별시 강남구 대치동,506,506,0,선경1차(1동-7동),136.68,201612,9,"184,000",1,1983,삼성로 151,,,,,,서울특별시 강남구 대치동,136.68,41.34576409,"184,000",4450.27451,,,,,,,
서울특별시 강남구 대치동,929-8,929,8,세연파크뷰,83.58,201612,14,"68,000",1,2002,삼성로63길 16-5,,,,,,서울특별시 강남구 대치동,83.58,25.28298919,"68,000",2689.555396,,,,,,,
서울특별시 강남구 대치동,904-10,904,10,신성미소시티,174.77,201612,14,"101,000",2,2006,역삼로 451,,,,,,서울특별시 강남구 대치동,174.77,52.86800695,"101,000",1910.41815,,,,,,,
서울특별시 강남구 대치동,65,65,0,쌍용대치2,84.49,201612,18,"130,000",12,1983,영동대로 220,,,,,,서울특별시 강남구 대치동,84.49,25.55826462,"130,000",5086.417327,,,,,,,
서울특별시 강남구 대치동,316,316,0,은마,76.79,201612,9,"110,000",7,1979,삼성로 212,,,,,,서울특별시 강남구 대치동,76.79,23.229011,"110,000",4735.457742,,,,,,,
서울특별시 강남구 대치동,316,316,0,은마,76.79,201612,15,"108,000",12,1979,삼성로 212,,,,,,서울특별시 강남구 대치동,76.79,23.229011,"108,000",4649.35851,,,,,,,
서울특별시 강남구 대치동,316,316,0,은마,76.79,201612,23,"107,500",9,1979,삼성로 212,,,,,,서울특별시 강남구 대치동,76.79,23.229011,"107,500",4627.833702,,,,,,,
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),35.51,201612,6,"32,500",24,2004,테헤란로 428,,,,,,서울특별시 강남구 대치동,35.51,10.74179165,"32,500",3025.566038,,,,,,,
서울특별시 강남구 대치동,891-6,891,6,테헤란로대우아이빌(891-6),33.11,201612,23,"31,000",16,2004,테헤란로 428,,,,,,서울특별시 강남구 대치동,33.11,10.01579052,"31,000",3095.112655,,,,,,,
서울특별시 강남구 대치동,910-4,910,4,풍림아이원아파트,84.87,201612,2,"76,000",1,2003,역삼로 436,,,,,,서울특별시 강남구 대치동,84.87,25.67321479,"76,000",2960.283728,,,,,,,
서울특별시 강남구 대치동,511,511,0,한보미도맨션1,128.01,201612,14,"185,000",5,1983,삼성로 150,,,,,,서울특별시 강남구 대치동,128.01,38.72308502,"185,000",4777.511913,,,,,,,
서울특별시 강남구 도곡동,953-1,953,1,SK허브프리모,67.57,201612,3,"57,500",12,2006,강남대로 240,,,,,,서울특별시 강남구 도곡동,67.57,20.43995668,"57,500",2813.117508,,,,,,,
서울특별시 강남구 도곡동,967,967,0,경남,84.94,201612,16,"86,000",8,2005,논현로 209,,,,,,서울특별시 강남구 도곡동,84.94,25.69438983,"86,000",3347.034142,,,,,,,
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,201612,1,"154,500",5,1999,언주로30길 13,,,,,,서울특별시 강남구 도곡동,177.255,53.61972061,"154,500",2881.402556,,,,,,,
서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,146.754,201612,1,"123,000",24,1999,언주로30길 13,,,,,,서울특별시 강남구 도곡동,146.754,44.39315381,"123,000",2770.697494,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9818,201612,2,"100,750",20,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,59.9818,18.14452262,"100,750",5552.639884,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201612,3,"133,000",12,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,84.9984,25.71205585,"133,000",5172.67078,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,134.9023,201612,5,"184,000",9,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,134.9023,40.808009,"184,000",4508.918825,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,119.8906,201612,5,"169,500",19,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,119.8906,36.26696271,"169,500",4673.675084,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9818,201612,6,"85,500",1,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,59.9818,18.14452262,"85,500",4712.165857,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201612,6,"128,000",19,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,84.9984,25.71205585,"128,000",4978.209472,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,134.9023,201612,9,"206,000",5,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,134.9023,40.808009,"206,000",5048.028684,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201612,11,"138,000",19,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,84.9984,25.71205585,"138,000",5367.132087,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,119.8906,201612,13,"143,000",20,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,119.8906,36.26696271,"143,000",3942.982519,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,120.8233,201612,13,"143,000",9,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,120.8233,36.5491049,"143,000",3912.544517,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,134.9023,201612,14,"184,000",14,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,134.9023,40.808009,"184,000",4508.918825,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,84.9984,201612,19,"128,000",4,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,84.9984,25.71205585,"128,000",4978.209472,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9772,201612,23,"85,500",7,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,59.9772,18.14313112,"85,500",4712.52726,,,,,,,
서울특별시 강남구 도곡동,527,527,0,도곡렉슬,119.8906,201612,26,"142,800",2,2006,선릉로 221,,,,,,서울특별시 강남구 도곡동,119.8906,36.26696271,"142,800",3937.467858,,,,,,,
